DB00482,CHEMBL118
DB01106,CHEMBL1615438
DB00640,CHEMBL477
DB00872,CHEMBL1755
DB00410,CHEMBL719
DB00327,CHEMBL398707
DB01558,CHEMBL277062
DB01045,CHEMBL374478
DB00134,CHEMBL42336
DB00631,CHEMBL1750
DB01567,CHEMBL13291
DB00307,CHEMBL1023
DB00834,CHEMBL1276308
DB05109,CHEMBL450449
DB00140,CHEMBL1534
DB01080,CHEMBL89598
DB06701,CHEMBL827
DB00875,CHEMBL54661
DB00845,CHEMBL1292
DB01622,CHEMBL609109
DB00937,CHEMBL1194666
DB00761,CHEMBL1200731
DB04953,CHEMBL41355
DB00694,CHEMBL178
DB01094,CHEMBL399121
DB02959,CHEMBL350221
DB01236,CHEMBL1200694
DB00495,CHEMBL129
DB04571,CHEMBL1475
DB00946,CHEMBL1465
DB01034,CHEMBL45627
DB00183,CHEMBL1328
DB01416,CHEMBL1672
DB01320,CHEMBL1201336
DB01347,CHEMBL305544
DB00688,CHEMBL1456
DB04946,CHEMBL14376
DB03147,CHEMBL1232653
DB01438,CHEMBL1242
DB01075,CHEMBL657
DB00491,CHEMBL1561
DB00261,CHEMBL760
DB00343,CHEMBL23
DB08981,CHEMBL277522
DB01107,CHEMBL1200790
DB00207,CHEMBL529
DB08796,CHEMBL2104900
DB01390,CHEMBL1353
DB00507,CHEMBL1401
DB01005,CHEMBL467
DB00182,CHEMBL405
DB01595,CHEMBL13209
DB06623,CHEMBL255044
DB04837,CHEMBL1201313
DB01237,CHEMBL1201245
DB00290,CHEMBL403664
DB01616,CHEMBL253371
DB00985,CHEMBL1200406
DB01016,CHEMBL472
DB00744,CHEMBL93
DB00995,CHEMBL1366
DB00989,CHEMBL636
DB00565,CHEMBL1200641
DB08811,CHEMBL404216
DB04861,CHEMBL434394
DB00126,CHEMBL196
DB00620,CHEMBL1451
DB00811,CHEMBL1643
DB00184,CHEMBL440464
DB00751,CHEMBL1106
DB00595,CHEMBL1517
DB01021,CHEMBL1054
DB06204,CHEMBL1201776
DB00677,CHEMBL1025
DB01581,CHEMBL438
DB00424,CHEMBL1331216
